zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,fval
0.43,1.06,1.016906923,-0.019526404,0.004996845,-0.004252767,0.002372475,-0.000494871,8.47E-23
0.43,1.07,1.01667213,-0.020435033,0.008134101,-0.006415577,0.00239862,-0.000352082,0
0.43,1.13,1.038050302,-0.04600673,0.011403103,-0.005114477,0.001933528,-0.000263789,2.49E-22
0.43,1.15,1.039682431,-0.044614661,0.005212184,-0.000260873,-6.38E-05,4.66E-05,0
0.43,1.16,1.042758693,-0.049486266,0.007865511,-0.001238265,6.36E-05,3.86E-05,3.88E-23
0.44,1,1.000000917,8.30E-07,6.57E-07,3.97E-07,5.13E-08,-3.80E-07,0
0.44,1.05,1.016334013,-0.02106061,0.008415366,-0.006348677,0.003529598,-0.000867447,0
0.44,1.06,1.021195033,-0.024245346,0.004551993,-0.004105923,0.003524322,-0.000917879,0
0.44,1.07,1.027561603,-0.035872201,0.011170763,-0.004926493,0.002985756,-0.000917269,4.45E-23
0.44,1.08,1.023797189,-0.030949886,0.011164098,-0.004767912,0.000629497,0.000129134,0
0.44,1.1,1.030962575,-0.038276788,0.0107663,-0.005046774,0.0018772,-0.000280471,1.23E-21
0.44,1.13,1.040192131,-0.048120092,0.009254474,-0.002184998,0.001309497,-0.000449075,0
0.44,1.15,1.043829585,-0.051882272,0.010010542,-0.00297286,0.001209518,-0.000192643,0
0.44,1.16,1.043877807,-0.052209977,0.010609328,-0.002776956,0.0005173,-1.57E-05,1.50E-10
0.44,1.17,1.046095412,-0.054018155,0.009531004,-0.00204112,0.000506955,-7.23E-05,0
0.45,1,1.000000917,8.30E-07,6.57E-07,3.97E-07,5.13E-08,-3.80E-07,0
0.45,1.01,0.996572261,0.001601551,0.007821862,-0.008582872,0.002975834,-0.000386212,0
0.45,1.02,1.002709018,-0.004396374,0.007232506,-0.008647568,0.003367942,-0.000263148,4.27E-21
0.45,1.03,1.007888717,-0.012081683,0.009533201,-0.007818209,0.002797675,-0.00031737,3.88E-22
0.45,1.04,1.007791845,-0.011628961,0.009592174,-0.008163857,0.002752488,-0.000341404,0
0.45,1.05,1.010697007,-0.013295658,0.007382902,-0.007620121,0.003465054,-0.00062694,1.76E-23
0.45,1.06,1.013996106,-0.018130995,0.009371605,-0.007594805,0.002714249,-0.000353959,7.93E-22
0.45,1.07,1.017387341,-0.020755946,0.007483244,-0.006532292,0.002923548,-0.000503735,0
0.45,1.09,1.024832288,-0.029084942,0.00741011,-0.005756295,0.003482317,-0.000881397,0
0.45,1.17,1.048181275,-0.057596965,0.011304642,-0.00239414,0.000648567,-0.000141573,3.60E-23
0.46,1,1.000000917,8.30E-07,6.57E-07,3.97E-07,5.14E-08,-3.81E-07,0
0.46,1.01,0.997695398,-0.000439898,0.008750517,-0.008232128,0.002462333,-0.000233797,0
0.46,1.02,1.001947446,-0.001320022,0.002267838,-0.005822114,0.003868949,-0.00093972,0
0.46,1.04,1.005058307,-0.005609079,0.005514324,-0.008116747,0.003799318,-0.000643837,0
0.46,1.08,1.030528264,-0.038237302,0.010871661,-0.005876617,0.003538326,-0.000822212,6.07E-22
0.46,1.1,1.039319424,-0.051282646,0.015186206,-0.004828587,0.002222623,-0.000614978,5.00E-22
0.46,1.11,1.039805073,-0.04980101,0.012548197,-0.00435429,0.002464974,-0.000660938,6.67E-22
