zeta,omega_ratio,solution_1,solution_2,power,test_FLAG
0.01,0.77,1.00000247236889,-2.17443031429715e-06,-1.03267992157533,false
0.01,0.78,1.00000247236148,-1.4247722951865e-06,-1.09413564810738,false
0.01,0.79,1.00000247235458,-7.26684319618352e-07,-1.15745514365817,false
0.01,0.8,1.0000024723481,-7.14789521612354e-08,-1.22266241597711,false
0.01,0.81,1.00000247234208,5.36817296855e-07,-1.28978143394165,false
0.01,0.82,1.00000247233639,1.11221798803729e-06,-1.35883621785173,false
0.01,0.83,1.00000247233105,1.6522214883771e-06,-1.42985076129959,false
0.01,0.84,1.00000247232602,2.16033970210602e-06,-1.50284905794921,false
0.01,0.85,1.00000247232128,2.64037103741518e-06,-1.57785509813344,false
0.01,0.86,1.00000247231676,3.09758453291189e-06,-1.65489286258578,false
0.01,0.87,1.00000247231466,3.30918499288603e-06,-1.73398749029259,false
0.01,0.88,1.00000247231889,2.88193614978531e-06,-1.81516524251961,false
0.01,0.89,1.00000247232282,2.48406508041357e-06,-1.89844685214781,false
0.01,0.9,1.0000024723266,2.1027261991568e-06,-1.98385637627825,false
0.01,0.91,1.00000247233016,1.74232567703281e-06,-2.0714177792182,false
0.01,0.92,1.00000247233359,1.39506491890706e-06,-2.1611550976129,false
0.01,0.93,1.00000247233685,1.06628134835559e-06,-2.25309228886067,false
0.01,0.94,1.00000247234001,7.46704174163892e-07,-2.34725340479099,false
0.01,0.95,1.00000247234302,4.42127648064769e-07,-2.44366239893415,false
0.01,0.96,1.00000247234588,1.52794692480187e-07,-2.54234325929424,false
0.01,0.97,1.00000247234856,-1.1818210304729e-07,-2.6433200304899,false
0.01,0.98,1.00000247235123,-3.88139519870907e-07,-2.746616648533,false
0.01,0.99,1.00000247235377,-6.44974712069888e-07,-2.85225716607381,false
0.01,1,1.00000247235622,-8.93191264504302e-07,-2.96026555004825,false
0.02,0.01,2.33512239315744e-05,0.999990778348153,-0.0199355079403388,false
0.02,0.02,1.73165049146352e-05,0.999993800459533,-0.0396155947319479,false
0.02,0.03,1.11487334326342e-05,0.999996889201914,-0.058848265566187,false
0.02,0.04,4.81129378211281e-06,1.00000006291198,-0.0774415210365259,false
0.02,0.05,-2.78764092719551e-05,0.999998445442957,-0.0952026479529165,false
0.02,0.06,-3.48688575165622e-05,0.999994954690355,-0.111939357035262,false
0.02,0.07,-3.03139526785483e-05,0.999997228578628,-0.127462802657757,false
0.02,0.08,4.21887481505187e-07,1.00000226107145,-0.14158258368272,false
0.02,0.09,9.06292692519581e-06,0.999997933747578,-0.154100827181676,false
0.02,0.1,1.7915472698798e-05,0.999993500504,-0.164828159888697,false
0.02,0.11,2.69814446799049e-05,0.999988960379263,-0.173572624336927,false
0.02,0.12,2.78393748851976e-05,0.999988530738607,-0.180147133544113,false
0.02,0.13,1.52862504604219e-05,0.999994817185429,-0.184363099939904,false
0.02,0.14,-1.79101040579468e-05,1.00000342079711,-0.186022584939693,false
0.02,0.15,-2.60721704225452e-05,0.999999346150625,-0.184932896568004,false
0.02,0.16,1.06647659733527e-05,0.99999713156673,-0.180912066900877,false
0.02,0.17,2.27311749269251e-05,0.999991088860895,-0.173765809730405,false
0.02,0.18,-4.40536625176624e-06,1.0000046784994,-0.163317097530732,false
0.02,0.19,1.43594162176476e-05,0.999995281332358,-0.149371323735916,false
0.02,0.2,-1.77022064111191e-05,1.00000352458326,-0.131768896518348,false
0.02,0.21,-1.61903324396362e-06,1.00000328313887,-0.110338434493047,false
0.02,0.22,-2.5369550429344e-06,1.00000374282257,-0.0849773410366715,false
0.02,0.23,-5.90236556755301e-06,1.00000542817783,-0.0557268781618822,false
0.02,0.24,-5.64473136106375e-07,1.00000275502844,-0.02347151508998,false
0.02,0.25,-0.000205196236524477,0.999909924279504,-3.01508865331431e-19,true
0.02,0.26,-2.66188710787543e-06,1.00000380538697,-0.0259957470470813,false
0.02,0.27,8.04117991580734e-07,1.00000206965521,-0.0695066705834959,false
0.02,0.28,-4.50617264137336e-06,1.00000472898197,-0.119567294101388,false
0.02,0.29,1.07361207737761e-05,0.999997095833143,-0.17532954513179,false
0.02,0.3,1.4266545389501e-05,0.999995327840901,-0.236757867440666,false
0.02,0.31,-6.37456525913982e-06,1.00000566464949,-0.303976556053059,false
0.02,0.32,1.00000247232013,2.75629972374855e-06,-0.18091299786423,false
0.02,0.33,1.00000247236133,-1.40985115185813e-06,-0.177743478425831,false
0.02,0.34,1.00000247236398,-1.67712079742466e-06,-0.173769593885955,false
0.02,0.35,1.00000247230994,3.78691036075722e-06,-0.168967988750394,false
0.02,0.36,1.00000247236752,-2.03557412901249e-06,-0.163317472319293,false
0.02,0.37,1.00000247233577,1.17455041244059e-06,-0.156793790948729,false
0.02,0.38,1.00000247236259,-1.53732328386446e-06,-0.14937501078905,false
0.02,0.39,1.00000247231109,3.67023726791415e-06,-0.141039447994995,false
0.02,0.4,1.00000247236299,-1.57772391210783e-06,-0.131767635451667,false
0.02,0.41,1.0000024723914,-4.45023602133815e-06,-0.121539072707548,false
0.02,0.42,1.00000247237258,-2.54733507026021e-06,-0.110338542142164,false
0.02,0.43,1.00000247227317,7.50532292400015e-06,-0.0981524244949119,false
0.02,0.44,1.00000247214834,2.0128056780538e-05,-0.0849767440825813,false
0.02,0.45,1.00000247222206,1.26734263663765e-05,-0.0708207713243217,false
0.02,0.46,1.00000247233659,1.09185541911148e-06,-0.0557274257348489,false
0.02,0.47,1.00000247233325,1.42995963180965e-06,-0.0398191343854899,false
0.02,0.48,1.00000247234979,-2.43044689112568e-07,-0.0234714201727569,false
0.02,0.49,1.00000247234615,1.250081063657e-07,-0.00809505100181532,false
0.02,0.5,1.00000247212801,2.20518676606146e-05,-6.4819675239196e-20,true
0.02,0.51,1.00000247235003,-2.67192616671978e-07,-0.00847486302778301,false
0.02,0.52,1.00000247234429,3.13204767537919e-07,-0.025995727608743,false
0.02,0.53,1.00000247234244,5.01135662376639e-07,-0.0467830136881411,false
0.02,0.54,1.00000247234419,3.23796969367033e-07,-0.069506628374126,false
0.02,0.55,1.00000247233531,1.22193660924151e-06,-0.0938075052537951,false
0.02,0.56,1.00000247236389,-1.66859033312757e-06,-0.119567385047605,false
0.02,0.57,1.00000247235669,-9.40956910527016e-07,-0.14674639693438,false
0.02,0.58,1.00000247234608,1.32158656323525e-07,-0.175334390130751,false
0.02,0.59,1.00000247233724,1.02602896969298e-06,-0.205336497350785,false
0.02,0.6,1.00000247234866,-1.28686645307919e-07,-0.236766121271283,false
0.02,0.61,1.00000247236882,-2.16669647826141e-06,-0.269638349921301,false
0.02,0.62,1.0000024723268,2.08155046830257e-06,-0.303974488693015,false
0.02,0.63,1.00000247236727,-2.01064300763488e-06,-0.339794121474047,false
0.02,0.64,1.00000247232003,2.76663931995665e-06,-0.377117867920263,false
0.02,0.65,1.00000247236417,-1.69646639318334e-06,-0.415970934714801,false
0.02,0.66,1.00000247234968,-2.31140543260851e-07,-0.456373455764229,false
0.02,0.67,1.00000247232034,2.73487651664402e-06,-0.498346008013832,false
0.02,0.68,1.00000247235239,-5.0635114923691e-07,-0.541918848604179,false
0.02,0.69,1.00000247237484,-2.77585715226271e-06,-0.58710660693687,false
