beta,omega,solution_1,solution_2,solution_3,power
0.04,0.26,1.02099302694752,-4.12004215937625e-06,-0.0209909697320638,-0.120593466056379
0.04,0.28,1.05611243983739,-2.25696654996115e-06,-0.0561110772680535,-0.131633417516813
0.04,0.3,1.02972228694012,4.3462322896167e-06,-0.0297204024646266,-0.135132104344508
0.04,0.32,1.03411500425389,-3.02787001622873e-06,-0.0341132065891306,-0.141553122767718
0.04,0.34,1.08002635490729,-8.81270846430387e-06,-0.0800254652670134,-0.151684957941037
0.04,0.36,1.09157352293178,1.24306172851435e-05,-0.320470178719913,-0.152524850418515
0.04,0.38,1.10743654986806,6.6255699212466e-06,-0.301124412237891,-0.143442793197428
0.04,0.4,1.12018585120854,9.74978501303077e-06,-0.283648222814506,-0.133860663640172
0.04,0.42,1.13027128605586,-1.93872108480079e-05,-0.267873045697971,-0.124070235884163
0.04,0.44,1.13805976584723,2.43706458127161e-05,-0.253709869153123,-0.114363574752601
0.04,0.46,1.14388949903034,1.30865851510858e-05,-0.241094332495105,-0.10501207067822
0.04,0.48,1.14810901818018,1.82312672238189e-05,-0.229917991831764,-0.0962402961121933
0.04,0.5,1.15102173040467,9.49185537807966e-06,-0.220094614175733,-0.0881706214530049
0.04,0.52,1.15291962894664,1.58730480282438e-05,-0.211473151549878,-0.0808565228375625
0.04,0.54,1.15404041667052,-8.53695889165539e-06,-0.203923578964976,-0.0742814317045467
0.04,0.56,1.15458293696712,-3.36851520934934e-06,-0.19730228811062,-0.0683980287937243
0.04,0.58,1.15469691364109,1.96917837722809e-06,-0.191465446578459,-0.0631404867253637
0.04,0.6,1.15409248356692,-1.32331188800654e-05,-0.18179069950283,-0.0614669359249044
0.04,0.62,1.15001062385973,1.4255362937266e-06,-0.163700809263406,-0.0665349027271947
0.04,0.64,1.14260772226359,9.8021447901805e-06,-0.147542053101219,-0.0712429397496785
0.04,0.66,1.13234581872494,9.12020118990635e-06,-0.133006030448546,-0.0754781740510797
0.04,0.68,1.11987685281266,2.26410857237854e-08,-0.119876751463695,-0.0791502051369967
0.04,0.7,1.10821461686177,-5.66821209810875e-06,-0.108214284788887,-0.0825148018300802
0.04,0.72,1.09778650949919,3.98888057101928e-06,-0.0977859712640324,-0.0855227826196529
0.04,0.74,1.08833810210718,7.6503830819222e-06,-0.088337377027953,-0.0880137775186062
0.04,0.76,1.07967767614951,3.71585900352602e-06,-0.0796767797366076,-0.089823144054355
