zeta,omega_ratio,solution_1,solution_2,solution_3,power
0.02,0.62,1.15040326905672,-8.76430145119115e-08,-0.164880772557688,-0.0643141794275386
0.02,0.64,1.14324163949434,4.99754601688213e-07,-0.14865025963239,-0.0690708396676298
0.02,0.66,1.13322084591678,-6.01971547690754e-08,-0.13406337405741,-0.0733573558684404
0.02,0.68,1.12088150472843,-1.65983378331116e-07,-0.120881501475196,-0.0770687652945497
0.02,0.7,1.10914556665813,-2.51546927527352e-07,-0.109145554134825,-0.0804526293782065
0.02,0.72,1.09864246625917,-5.39461730850482e-08,-0.0986424454397049,-0.0834821392283619
0.02,0.74,1.08912139827956,-5.04969003755894e-07,-0.089121369939368,-0.0859945916470932
0.02,0.76,1.08038819643483,-2.98991950827914e-09,-0.0803881611966178,-0.0878195891940472
0.02,0.78,1.07229268488965,-4.79482357227818e-08,-0.0722926432568961,-0.0887881735642078
0.02,0.8,1.06471933102346,1.82164903042369e-07,-0.0647192834087251,-0.0887374474198555
0.02,0.82,1.05757916442193,-1.79685395933642e-06,-0.0575791111665379,-0.0875148148504118
0.02,0.84,1.0508041849346,-1.44165661843045e-07,-0.0508041263283723,-0.0849759245132468
0.02,0.86,1.04433960397567,-8.41579360191887e-07,-0.0443395402628965,-0.0809884010038109
0.02,0.88,1.01896053279545,-5.0042972474013e-07,-0.018960449036266,-0.074498073802691
0.02,0.9,1.03218016687131,-6.96551742242762e-07,-0.0321800935540372,-0.0681643918747265
0.02,0.92,1.00946306627817,1.23258743810108e-07,-0.00946297501728035,-0.0523318253736182
0.02,0.94,1.00448248658132,-2.71128402211291e-08,-0.00448239138633643,-0.0384673586597886
0.02,0.96,1.00074234607645,1.72800380512825e-08,-0.00074224792719452,-0.0233542815185699
0.02,0.98,0.998867411874154,6.51225574966315e-11,0.00113268775608229,-0.00718183016095917
0.02,1,1.00000461287902,-3.83457652958949e-06,-4.51414552937353e-06,0
0.04,0,5.45216963152208e+80,0.1,0.1,0
0.04,0.02,1.00116250334659,-1.01679813546514e-07,-0.00116240552917591,-0.00998027744498741
0.04,0.04,1.04859151158441,-2.8873531991668e-07,-0.0485914512303725,-0.0211606462385114
0.04,0.06,1.03201457100833,1.33304186862996e-07,-0.0320144975606036,-0.0305503035768545
0.04,0.08,1.02505572212376,1.85443911389386e-07,-0.0250556431793447,-0.0400970846050996
0.04,0.1,1.02143616864308,-1.51341092188083e-07,-0.0214360868394973,-0.0495965944741447
0.04,0.12,1.01943002363398,-9.24340545486139e-08,-0.0194299402458273,-0.0589757455468608
0.04,0.14,1.01856274156294,-1.42951085617679e-07,-0.0185626574896914,-0.068199685078789
0.04,0.16,1.01835772746472,-1.56651393798694e-07,-0.0183576432295243,-0.0772230136932317
