zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,power,test_FLAG
0.5,0.25,-0.172696018621409,0.12248064429039,0.20112005800985,0.444134169664589,0.167533333658808,0.231123457269979,0.0107142211566803,0.0845234041763266,-0.038110751476734,-0.00143538623946571,0.0149891693438307,0.0243534404135727,-0.0111274542154226,0.0271208040908795,-0.00795755170433885,-0.00519491980853767,0.0145943532604182,-0.013371394742445,-0.00578753561441593,0.00787892184670201,-0.262283174105437,false
0.5,0.5,-0.286244623230665,0.394341092715238,0.434692913896822,0.357283781680362,0.0191119436226328,0.12444166682515,-0.0337644826981627,0.0035659393586714,-0.0106507569670762,0.00939940209022452,0.0143625032874893,0.0111712519078707,-0.0203624190722493,-0.00803604479908597,0.00588586721735818,-0.00547458779406416,0.00458507516914565,0.00664268368334897,-0.00669165533085335,0.00251228524480824,-1.4022282382832,false
0.5,0.75,0.055712830271305,0.272509588475483,0.222889000859174,0.367395887895467,0.194125306891762,0.195089155955492,-0.0111083470808643,0.0170235366407806,-0.0742880242399626,0.0204063101703045,-0.0128282933554502,0.0415534440613868,-0.00640672966147908,-0.00457064158283681,-0.0103726799994311,-0.00619068176005573,0.0265129078222153,-0.0181421478620028,-0.0105679724356321,0.0176780312384258,-9.91000573073488,false
0.5,1,-0.022678098604157,0.274524956747868,0.188384184447452,0.414633552171345,0.183717866572106,0.194215808508657,-0.0211263061076667,0.0420279911149772,-0.047290460764439,0.0107167240794222,-0.0147672165575084,0.0128590298863735,-0.00215185438128247,-0.00449439678191147,0.0229257794282973,0.000109176812705157,-0.00294193161900519,-0.0195860573565146,-0.00880126232391972,0.0250172420006732,-28.2424943836153,false
0.75,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,true
0.75,0.25,-0.305680867897509,0.275384439211882,0.270337657969236,0.347810726777322,0.203812431047591,0.180596655694264,-0.0291247398607229,0.201734643135711,-0.0159027790450441,0.000944061624441409,0.000923223535138125,0.00317734337914489,0.00898648092009722,0.00872220057193593,0.0163807571463906,-0.000615795791374108,-0.00995426410297199,-0.00809172574255994,-0.00287443138771228,0.00131410657424096,-0.215796682472813,false
0.75,0.5,-0.195918790533725,0.491788314460755,0.0453371388807507,0.430143066671059,0.067996382104503,0.287858592379021,0.0942291007991703,0.0400993227676608,-0.0352381402119866,-0.0370905919819301,0.0176568599978804,0.0151335331293924,0.00555607047572825,0.00718820884004889,-0.00568082259228614,0.00127763870412693,0.0377017063011668,-0.034965357667615,-0.0174018720750785,0.0184678267045354,-3.68765974704233,false
0.75,0.75,-0.14214132753272,0.206133453177422,0.279442690692962,0.49398173624081,0.13772708114945,0.157313717778235,-0.121898513985951,0.0362917234008933,-0.0098481528832154,0.00373577023993674,0.00675641169809602,-0.0206587203816964,0.0158267206922364,0.00788312757695348,-0.018413365625814,0.000880526585729741,0.00730190530470145,-0.0033940203650956,0.0043634733054594,0.00326785481094201,-6.41389692530967,false
0.75,1,0.0302367223683374,0.214851564515946,0.252049301844723,0.357083631875349,0.209006574510061,0.19826180024514,0.00104133831354315,0.0261557036604,-0.0855722634662944,0.00856204382763682,-0.0112886652695326,0.0440628873517158,-0.000478952055940668,-0.0183950231586306,-0.00645919969983242,-0.00384701504787634,0.0259636139908354,-0.00931909898588468,-0.0223333152148424,0.0215739482519673,-23.9227430758574,false
1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,true
