zeta,omega_ratio,solution_1,solution_2,solution_3,power
0,0.34,1.09984787389588,-4.25418486533199e-07,-0.0998478540284032,-0.156753146101009
0,0.35,1.0789648366494,-4.28912282460629e-07,-0.334546742209685,-0.160043744325724
0,0.36,1.0885574796074,1.2864988832567e-07,-0.323918698704087,-0.15574106631057
0,0.37,1.09722068862935,-4.90030275985547e-07,-0.313814219768072,-0.151224589175837
0,0.38,1.10503061468681,-2.3205024446209e-08,-0.304196307575852,-0.146524381735731
0,0.39,1.11205225969779,-1.63769113754105e-07,-0.295036264128067,-0.141672987775561
0,0.4,1.11834231778278,-4.21422476879873e-07,-0.28631209704131,-0.136706003571196
0,0.41,1.12395088971607,-2.20236581822118e-07,-0.278007581546828,-0.131661882347438
0,0.42,1.12892355050478,9.02952601268654e-07,-0.270111809910864,-0.126581040913164
0,0.43,1.13330290335427,-7.52450502179582e-07,-0.262617684710039,-0.121505350577927
0,0.44,1.13713011196498,1.01448770175869e-07,-0.255519941440767,-0.116476657427904
0,0.45,1.14044649030246,-2.36537813115453e-07,-0.248813890919675,-0.111535221194501
0,0.46,1.14329330741204,-8.44373868672252e-08,-0.242493931631369,-0.106716987999705
0,0.47,1.1457120972072,2.84166073976218e-07,-0.236552790548004,-0.102052486096762
0,0.48,1.14774477220723,4.80991704497139e-08,-0.230979838696252,-0.0975652442171906
0,0.49,1.14943242536001,-2.07146620686319e-07,-0.225761269682093,-0.0932715749221353
0,0.5,1.15081465198495,8.16791779317723e-09,-0.220880637319206,-0.0891809170119583
0,0.51,1.15192867463557,-4.58069207444344e-07,-0.216319529407106,-0.0852968645596208
0,0.52,1.15280871368673,4.82398538253544e-07,-0.21205862021256,-0.0816181984157723
0,0.53,1.15348592050327,4.75119868492443e-07,-0.20807768438514,-0.0781403880772798
0,0.54,1.15398824119226,-2.26655331682692e-07,-0.204357192477995,-0.0748563136066802
0,0.55,1.15434027277374,9.68854156603254e-08,-0.200877703544721,-0.0717574694010136
0,0.56,1.15456373158522,-1.76167495831678e-07,-0.197621142593074,-0.0688342773778357
0,0.57,1.15467740703555,-6.74153030569986e-07,-0.194570336836378,-0.0660767880600831
0,0.58,1.15466061337634,3.52190182274874e-07,-0.189686896287654,-0.0648277872479802
0,0.59,1.15381811015884,1.45475370585441e-07,-0.179662619742647,-0.0673453645809995
0,0.6,1.15195792950539,-5.89407827645081e-07,-0.170234934750421,-0.0697904602729203
0,0.61,1.14916949350751,2.76930414845978e-07,-0.161353004395596,-0.0721517742197255
0,0.62,1.14552991999319,-1.64281666875634e-08,-0.152970807175846,-0.0744162458009609
0,0.63,1.14110508052238,-1.5435087979286e-07,-0.145046067602387,-0.076570260043301
0,0.64,1.13595050259644,4.12703648458891e-07,-0.137540243857587,-0.0785989638088083
0,0.65,1.13011250396679,-4.62500856324445e-08,-0.130418319390177,-0.0804864915413149
