zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,power,test_FLAG
0.01,0.28,0.0817277718185852,-0.0152377496067564,0.593735655563975,0.457010739860963,-0.0078975511158099,-0.103202748745585,false
0.01,0.29,0.0773201924957314,-0.0665276988622426,0.834353127643389,0.226616983343345,0.0169855028460274,-0.0948783084247137,false
0.01,0.3,8.29230733750652e-06,-7.99640900546777e-06,1.00000482456595,2.56598373823436e-05,7.61577182072913e-06,-0.0777826761868795,false
0.01,0.31,-1.21298685790273e-05,2.00435903722789e-05,1.00001080603375,-2.05752765263777e-06,3.8600389374102e-06,-0.0547662716380327,false
0.01,0.32,0.000107971171226461,-0.000164222604202308,0.999676883373672,-0.000264376053531228,-1.22793386825113e-05,-0.0295690526300505,false
0.01,0.33,-1.69387631941617e-06,-7.98504746375312e-06,1.00001417027473,-4.14048768974591e-06,-2.35849652725235e-06,-0.00409473577018448,false
0.01,0.34,6.78269735127212e-07,-1.42803750959714e-06,1.00002108314756,1.08712783546725e-07,3.6796608854964e-08,-0.0126775282119445,false
0.01,0.35,3.27572989990961e-07,-9.99651884194448e-07,1.00002091296771,-5.67455573102002e-07,3.25007236508798e-07,-0.0439050545469327,false
0.01,0.36,2.60828306901478e-05,1.52549909342077e-05,0.999996817436193,7.63138607930551e-07,-6.4956961509365e-07,-0.0789525192357136,false
0.01,0.37,1.22191744064863e-05,-2.42421775606077e-05,1.00000630868184,6.0681292131852e-06,-2.97240134160769e-06,-0.117083040970155,false
0.01,0.38,-0.199444785002726,0.812376575426069,0.383750436508529,-0.0519126035981526,0.0644913359722127,-0.108651963139214,false
0.01,0.39,-0.248267929244149,0.836622991592477,0.375528122450947,-0.0414654815394804,0.0700882245463063,-0.105221521438259,false
0.01,0.4,-0.238190630343969,0.87822102777033,0.320310389695191,-0.0269133328071055,0.0588296475536969,-0.102631461596081,false
0.01,0.41,-0.344745346734396,0.932031611801957,0.24006588086188,0.00884033667417668,0.0558440013669376,-0.107305057526463,false
0.01,0.42,-0.261239249137539,0.926032775583776,0.272102480435287,-0.0115261671092643,0.049996172408993,-0.0923469407817577,false
0.01,0.43,0.245016058036237,0.948841062877578,-0.235485717783685,-0.00594161645173121,-0.0420974520224154,-0.0864376640517325,false
0.01,0.44,-0.217798334723103,0.949050183988228,0.220811247793453,-0.00198908143703618,0.0355423947232034,-0.0909869197406675,false
0.01,0.45,-0.214170049279312,0.978528775018507,0.178959745630218,-0.00866183264528744,0.0413109039656206,-0.0981812729184958,false
0.01,0.46,-0.000405843077576759,0.995480154376235,0.00781571185489257,-0.000500265706545758,0.00159941853234612,-0.0624107517325513,false
0.01,0.47,-0.000523999857852436,0.997086503207604,-0.00437291568348467,0.000512231406840395,-0.00094268111727789,-0.0464148500414638,false
0.01,0.48,0.00213073370502101,0.995839366940517,0.00508417846275587,0.00060213006950048,0.00111496346388802,-0.0295066984031195,false
0.01,0.49,-0.00308634854594796,0.996943685081994,-0.00248122764142106,0.000103836394045444,-0.000567513808529353,-0.0120481394394788,false
0.01,0.5,0.0114352812929091,0.991919808232738,0.00409402232368525,-1.39160109913351e-05,0.000632344970851449,0,true
0.01,0.51,-0.00478540602892712,0.995721435757532,-0.00306203361189205,-0.00021748920711621,-0.000733390385690828,-0.0127657674442213,false
0.01,0.52,0.00198228249041667,0.997917094853566,0.00175021107664626,-8.34905345843467e-05,0.000439933133634032,-0.0328983416072074,false
0.01,0.53,-0.00332985807918248,0.996174460990286,-0.00345971800543004,-0.000321855994846681,-0.00088224305966703,-0.0550377681197267,false
0.01,0.54,-0.0054671392181651,0.993273077097683,-0.00638460988734457,-0.0010309070522689,-0.00161830611103099,-0.0786438025211526,false
0.01,0.55,0.00566614241877943,0.993557598735851,0.00570852221911911,-0.000748517500308188,0.00152112514118748,-0.103280712635244,false
0.01,0.56,-0.00864439926503006,0.990091736924725,-0.00885038897599027,-0.00159890934594376,-0.00233706448817035,-0.129328587979264,false
0.01,0.57,-0.00968754358374713,0.989800484435699,-0.00839875723245388,-0.00136605253448366,-0.0023317769371399,-0.156353521200529,false
0.01,0.58,0.0123447121833624,0.987539815644056,0.00980495461953335,-0.00172806013629797,0.00278059915708754,-0.184613287860826,false
0.01,0.59,0.0162535013521517,0.984654031774424,0.0112208740805528,-0.00171497295895749,0.00322448696027349,-0.214004049465883,false
0.01,0.6,-1.13749118616007,0.00050668494477004,0.152521538420816,-9.84726567449175e-05,0.0145166791065643,-0.0601315225717413,false
0.01,0.61,-1.13386171931199,2.66405344695456e-05,0.143691522302639,-5.980109560432e-06,0.0166468908909132,-0.0568336827766519,false
0.01,0.62,-0.230526732582127,0.872960201978238,-0.0115667902626386,0.00575703966939527,-0.00489729050947916,-0.32032655152764,false
0.01,0.63,-0.237853829585775,0.864201890606047,-0.0186252106403299,0.00486736955957156,-0.0079092151936063,-0.344150185725287,false
0.01,0.64,1.13036960529467,-2.98933917419058e-06,-0.133430773960383,1.26971860189684e-06,-0.0171523938798325,-0.0487623533159534,false
0.01,0.65,-1.12924999420457,0.00038575474743398,0.130540856124451,-8.04304029920896e-05,0.0172703329802065,-0.0465048180187656,false
