zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,fval
0.14,1.07,1.01716740023837,-0.0188194880066334,0.00227213598796814,-0.000836531929766194,0.000425101116975976,-0.000206458907557998,0
0.14,1.08,1.01772516002729,-0.0188914231805532,0.00192264763039456,-0.000810740849513742,0.000143687054758413,-8.72115637249594e-05,0
0.15,1,1.00000041215299,4.12144836078292e-07,4.12128530201255e-07,4.12104077527273e-07,4.1207147498556e-07,4.12030719505328e-07,9.42227391216339e-20
0.15,1.01,1.00447412446208,-0.00316863624847664,-0.00109532433053799,-0.00117421138057607,0.000713671664450997,0.000252797315763696,0
0.15,1.03,1.00546976863232,-0.00635907330584199,0.00218820484055902,-0.00188175710877181,0.000993518827081803,-0.000408333418665376,0
0.15,1.04,1.00659200169801,-0.00576324106388308,-0.000683819190480544,-0.00041370141183919,0.000656513709611997,-0.000385469559241332,0
0.15,1.05,1.0078746022514,-0.00769401306779797,0.000928273636045722,-0.00128731562804363,0.000343135166890203,-0.000162440196772556,0
0.15,1.06,1.01448790526143,-0.0149900757506719,0.00125193865676157,-0.00135141570250295,0.000679350797549969,-7.55015234521493e-05,1.45930144394148e-19
0.15,1.07,1.01729017091367,-0.0190430015669517,0.00229846656527794,-0.000456355780617628,-6.67400214101686e-05,-2.03814277815718e-05,0
0.15,1.08,1.01750046233895,-0.0188219007562087,0.00224885713489976,-0.00110318737008398,0.000344667598422229,-0.000166777655213806,2.57578421536479e-19
0.16,1,1.00000041215299,4.12144836078292e-07,4.12128530201255e-07,4.12104077527273e-07,4.1207147498556e-07,4.12030719505328e-07,8.8333827940546e-20
0.16,1.02,1.00403716086054,-0.00306848802499709,1.76957463979885e-05,-0.0024385851589388,0.00178480830515255,-0.000330213371780798,4.22410494660752e-19
0.16,1.04,1.00415914021524,-0.00231461596940331,-0.000854110778818593,-0.0012519196179511,0.000203852130689812,5.99394442138086e-05,0
0.16,1.05,1.01176951600537,-0.0107084599969616,-0.00173275559032147,0.00044457413961443,0.000358708554827935,-0.00012934004597288,1.32303226927012e-19
0.16,1.06,1.01222784503897,-0.0131346487523838,0.00239082973816303,-0.00194184812609486,0.000617552621676088,-0.000157531128902915,0
0.16,1.09,1.02022718076538,-0.0217064665528469,0.00224494825884212,-0.000784543094587437,0.000103898557167627,-8.29388620900646e-05,0
0.17,1,1.00000041215299,4.12144836078292e-07,4.12128530201255e-07,4.12104077527273e-07,4.1207147498556e-07,4.12030719505328e-07,8.31377287307698e-20
0.17,1.02,1.00328018829191,-0.00219525807679854,-0.00114207317606346,-0.00113376399832488,0.00206721231407811,-0.00087392914388619,0
0.17,1.03,1.00631966744934,-0.00531211216475032,-0.00121957083480897,0.00106737754041988,-0.00163269421928812,0.0007796621932202,0
0.17,1.05,1.0098610622748,-0.00928509309830905,-0.00162961317165697,0.00179795762753608,-0.000580146773004749,-0.000161924265339711,2.43343605487713e-20
0.17,1.06,1.01214749681892,-0.0137894435528993,0.00327930202116394,-0.00196681447250934,0.000607526033352026,-0.000275867740456822,0
0.17,1.07,1.0161218540773,-0.0182565623190576,0.00297884203074687,-0.000460662446326468,-0.000405617204208569,2.43061929067072e-05,1.11663385049912e-20
0.17,1.09,1.02092373744996,-0.0229593841312289,0.00287943146324871,-0.000909432812537418,0.000209156894359577,-0.00014142827977568,0
