zeta,omega_ratio,solution_1,solution_2,solution_3
0.28,1.06,1.008011208,-0.005080521,-0.002928488
0.28,1.07,1.00859502,-0.00497888,-0.003613981
0.28,1.08,1.009104977,-0.004776751,-0.004326104
0.28,1.09,1.010435858,-0.005768452,-0.004665324
0.28,1.1,1.021726246,-0.021665579,-5.86E-05
0.28,1.11,1.022989082,-0.022764448,-0.000222625
0.28,1.12,1.024608384,-0.024205068,-0.000401347
0.28,1.13,1.028479605,-0.029231541,0.000753876
0.29,1,1.000000824,8.24E-07,8.24E-07
0.29,1.01,1.001234531,-0.000600284,-0.000631824
0.29,1.02,1.00010681,0.002305853,-0.002410288
0.29,1.03,0.999886036,0.003761583,-0.003645289
0.29,1.04,0.999094193,0.005980719,-0.005072622
0.29,1.05,0.994358445,0.014263633,-0.008619835
0.29,1.06,1.006340688,-0.002615323,-0.003723166
0.29,1.07,1.006963057,-0.002457923,-0.004502978
0.29,1.08,1.015034499,-0.013548204,-0.001484179
0.29,1.09,1.018349316,-0.017561497,-0.00078574
0.29,1.1,1.02217861,-0.022349432,0.000172863
0.29,1.11,1.023266325,-0.023105096,-0.000159224
0.29,1.12,1.02472622,-0.024334755,-0.000389498
0.29,1.13,1.025746794,-0.025025492,-0.000719367
0.3,1,1.000000824,8.24E-07,8.24E-07
0.3,1.01,1.001218654,-0.000621273,-0.000594956
0.3,1.02,1.002239708,-0.00094741,-0.001289921
0.3,1.03,1.002927959,-0.000771123,-0.002154508
0.3,1.04,1.003146833,-2.77E-05,-0.003116799
0.3,1.05,1.002833881,0.001566126,-0.004397765
0.3,1.06,1.002362811,0.003349428,-0.005710039
0.3,1.07,1.00190589,0.005052421,-0.006956152
0.3,1.08,1.009349829,-0.005017238,-0.004330475
0.3,1.09,1.009326033,-0.004120445,-0.005203506
0.3,1.1,1.018473117,-0.016862491,-0.001608583
0.3,1.11,1.027302148,-0.029104723,0.001804579
0.3,1.12,1.028010376,-0.029301885,0.001293479
0.3,1.13,1.028721187,-0.029506928,0.000787676
0.3,1.14,1.029433869,-0.029719044,0.000287077
0.31,1,1.000000824,8.24E-07,8.24E-07
0.31,1.01,1.001191653,-0.000622308,-0.000566919
0.31,1.02,1.00224564,-0.000876181,-0.001367086
0.31,1.03,1.002872197,-0.000651185,-0.002218685
0.31,1.04,1.003223173,-2.10E-05,-0.003199891
0.31,1.05,1.003248089,0.000910363,-0.004156209
0.31,1.06,1.002942637,0.00237697,-0.005317403
0.31,1.07,1.002776503,0.00384745,-0.006621797
0.31,1.08,1.00423868,0.002546163,-0.006782722
0.31,1.09,1.012036348,-0.008200606,-0.003833659
0.31,1.1,1.012599015,-0.008061531,-0.00453544
0.31,1.11,1.018035034,-0.015240378,-0.002792651
0.31,1.12,1.021409918,-0.019424186,-0.001983761
0.31,1.13,1.022476553,-0.020113951,-0.002360667
0.31,1.14,1.026891866,-0.025928369,-0.000961595
0.32,1,1.000000824,8.24E-07,8.24E-07
0.32,1.01,1.001122601,-0.000395652,-0.000724528
0.32,1.02,1.001978118,-0.000549437,-0.001426303
0.32,1.03,1.000545627,0.002749813,-0.003293109
0.32,1.04,1.000843185,0.0035594,-0.004400303
0.32,1.05,1.000937243,0.004473264,-0.005408267
0.32,1.06,1.001022464,0.005360565,-0.006380829
0.32,1.07,1.001253345,0.006125178,-0.007376367
0.32,1.08,1.004896337,0.001560059,-0.006454276
0.32,1.09,1.00783301,-0.001841241,-0.005989688
0.32,1.1,1.015585379,-0.012573371,-0.003009963
0.32,1.11,1.017256763,-0.014040146,-0.003214613
0.32,1.12,1.022705861,-0.021379678,-0.001324212
0.32,1.13,1.023677392,-0.022000201,-0.001675253
0.32,1.14,1.034100461,-0.03678283,0.002684273
0.32,1.15,1.03422659,-0.036023643,0.001798919
0.33,1,1.000000824,8.24E-07,8.24E-07
0.33,1.01,1.001089219,-0.000386486,-0.00070031
0.33,1.02,1.00199519,-0.00049823,-0.001494586
0.33,1.03,1.002613696,-0.000334745,-0.002276621
0.33,1.04,1.003151319,9.36E-05,-0.003242629
0.33,1.05,1.003425912,0.000738638,-0.00416231
0.33,1.06,1.002222723,0.003583635,-0.00580416
0.33,1.07,1.002340531,0.004371184,-0.006709554
0.33,1.08,1.00260367,0.005045625,-0.007647176
0.33,1.09,1.015752079,-0.013721567,-0.002028432
0.33,1.1,1.017018467,-0.014652371,-0.002364054
0.33,1.11,1.029982512,-0.033259837,0.003279334
0.33,1.12,1.031226036,-0.034233527,0.003009465
0.33,1.13,1.032493271,-0.035161419,0.002670083
0.33,1.14,1.033670388,-0.036067601,0.002399115
0.33,1.15,1.034158272,-0.035950205,0.001793802
0.34,1,1.000000824,8.24E-07,8.24E-07
0.34,1.01,1.001049683,-0.00036546,-0.000681798
0.34,1.02,1.001968011,-0.000534342,-0.001431291
0.34,1.03,1.002701888,-0.000428413,-0.002271146
0.34,1.04,1.003259902,-7.18E-05,-0.00318582
0.34,1.05,1.003750481,0.000236693,-0.003984934
0.34,1.06,1.003968411,0.000829598,-0.004795805
0.34,1.07,1.004317238,0.001426595,-0.005741673
0.34,1.08,1.00463186,0.002032751,-0.006662494
0.34,1.09,1.005229885,0.002019369,-0.007247172
0.34,1.1,1.019315064,-0.018047074,-0.00126595
0.34,1.11,1.019992656,-0.018288944,-0.001701702
0.34,1.12,1.020898756,-0.018646473,-0.002250313
0.34,1.13,1.021883763,-0.019272332,-0.002609494
0.34,1.14,1.036549574,-0.040361704,0.003814031
0.34,1.15,1.03185274,-0.03259114,0.000740272
0.34,1.16,1.032364402,-0.032468976,0.000106411
0.35,1,1.000000824,8.24E-07,8.24E-07
0.35,1.01,1.001011259,-0.000343822,-0.000665011
0.35,1.02,1.001932962,-0.000360257,-0.001570334
0.35,1.03,1.002553914,-0.000245609,-0.002305974
0.35,1.04,1.003133568,4.46E-05,-0.003175843
0.35,1.05,1.003606275,0.000472338,-0.004076373
