zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,power,test_FLAG
0.01,0.49,1.00027247423207,-8.7830269049328e-06,-0.000270007069271068,-1.7425294257053e-06,-0.0119972105747204,false
0.01,0.5,0.999998534656145,0.00317198579570406,3.93143714937159e-06,-0.00063293545510636,-5.24301327869399e-20,true
0.01,0.51,0.999802177075272,-2.0030669865981e-05,0.000200299599953433,-4.24937761271305e-06,-0.012645235126711,false
0.01,0.52,-0.998417613790602,-6.77477845599217e-05,-0.00158488864495808,-1.48842303239191e-05,-0.0314910139969953,false
0.01,0.53,0.997122517160354,-5.39551905241533e-05,0.00288001319555994,-1.2948872541583e-05,-0.0516089581104432,false
0.01,0.54,0.996116828931079,-4.51999694715533e-05,0.00388572115025896,-1.09385731783124e-05,-0.0729992602045853,false
0.01,0.55,0.995301624147819,-5.8838180468897e-05,0.00470094232861398,-1.4383293314618e-05,-0.0956749943520418,false
0.01,0.56,0.994548572172218,0.000423233328091245,0.00545399964535997,0.000106604379604888,-0.119675471196285,false
0.01,0.57,0.993838790384742,-0.000102694128406675,0.0061638059416124,-2.65877388213076e-05,-0.144936448041423,false
0.01,0.58,0.993142615465009,3.59832999020573e-05,0.00685999183494308,9.42542055006045e-06,-0.171549610360439,false
0.01,0.59,0.99249946650915,9.10268560838025e-05,0.00750315233408256,2.54329103542717e-05,-0.199505415036269,false
0.01,0.6,0.992070767468999,-0.000126872942122374,0.00793186442438488,-3.56414361928496e-05,-0.22882043889948,false
0.01,0.61,0.991670022330033,9.76192524712251e-05,0.0083326127549995,2.79254670860746e-05,-0.259515953270915,false
0.01,0.62,0.990880777044886,-0.00010568226890897,0.009121878049984,-3.24613694237809e-05,-0.291630203186255,false
0.01,0.63,0.990834381596541,-7.7620302801204e-05,0.00916827377638684,-2.3308235084039e-05,-0.32512079429538,false
0.01,0.64,0.990363419868307,-8.60988426411853e-05,0.00963924503829972,-2.67125372924331e-05,-0.360070253582744,false
0.01,0.65,0.989756408531054,2.09165528110214e-05,0.010246265972238,7.44196446721938e-06,-0.396508706216849,false
0.01,0.66,0.989875172159893,-0.000194810658731187,0.0101275048230328,-6.06917504134169e-05,-0.434370431458763,false
0.01,0.67,0.989776984701181,0.000122762134609341,0.0102256871996444,3.74808710305208e-05,-0.4737611626436,false
0.01,0.68,0.989334991256784,0.00015331826527428,0.0106676886361031,4.88047972740407e-05,-0.514660843273265,false
0.01,0.69,0.988951572523054,-3.69533050107741e-05,0.0110511192692314,-1.27265476142993e-05,-0.557100731877452,false
