zeta,omega_ratio,solution_1,solution_2,solution_3
0.15,0.96,0.98284254026929,0.0204579355391323,-0.00329779450606134
0.15,0.97,0.986386338747129,0.0165317322960792,-0.00291544470900967
0.15,0.98,0.997029460843086,0.00186024111099911,0.00111287321878927
0.15,0.99,1.00777620603296,-0.0129256865127163,0.00515200287015642
0.15,1,0.992983023828316,0.0105363962114939,-0.0035169479754248
0.15,1.01,0.993142203295529,0.0115187965594474,-0.00465857609869155
0.15,1.02,1.00232347174952,-0.00105359748346489,-0.00126749796498606
0.15,1.03,1.00663612516695,-0.00636771334448953,-0.000266081207688776
0.15,1.04,1.01391450746435,-0.0161066540524858,0.00219443057472429
0.15,1.05,1.01002655226019,-0.00920595167338687,-0.000818358877964397
0.15,1.06,1.01775655740339,-0.0197827701460292,0.00202841417008032
0.15,1.07,1.01715183757811,-0.0178154583617954,0.00066578026982551
0.16,0.93,0.978966239447954,0.0218139947966639,-0.000777376571971573
0.16,0.94,0.985244623062321,0.0138468875782885,0.000911289650755667
0.16,0.95,0.980844494669263,0.0220149760194013,-0.00285673241970217
0.16,0.96,0.991574698296522,0.0072536889432712,0.00117429825276537
0.16,0.97,0.987820249861767,0.0143562926577221,-0.00217391521377301
0.16,0.98,0.99747547094511,0.00121704398209365,0.00131005922416594
0.16,0.99,1.00789886341141,-0.0131392072217574,0.0052428673683247
0.16,1,1.00986609170199,-0.0147941902812158,0.00493057087375556
0.16,1.01,0.997354095936641,0.00519960486334487,-0.00255127699183683
0.16,1.02,1.0075899728449,-0.0089233114380948,0.00133571370441007
0.16,1.03,0.997946659533272,0.00667669229874567,-0.00462102161763381
0.16,1.04,1.01045986412153,-0.0109371379049768,0.000479558263851181
0.16,1.05,1.00668724057661,-0.00420930499248263,-0.0024756933865878
0.16,1.06,1.01442484397969,-0.0147786356147832,0.000355992804154076
0.16,1.07,1.01752376882597,-0.0183910331935473,0.000869424552886849
0.17,0.92,0.974927410891982,0.0262000446530754,-0.00112453172083413
0.17,0.94,0.985914144119945,0.0129727317498257,0.00111591927370931
0.17,0.95,0.981431454521036,0.0211216258584938,-0.00255034159918112
0.17,0.96,0.996358498584704,0.000158814285887892,0.00348536942272234
0.17,0.97,1.00033371547906,-0.0044238855727164,0.00409279778927026
0.17,0.98,0.984140097421107,0.0212396479483711,-0.00537717198601637
0.17,0.99,1.00784226240817,-0.0130776302045257,0.00523789227901642
0.17,1,1.00439782613568,-0.00655920194535301,0.00216384681711931
0.17,1.01,0.991981977187157,0.013291613684747,-0.00527116839887002
0.17,1.02,1.00449197877064,-0.00427689158745861,-0.000212712048155142
0.17,1.03,1.00342195619193,-0.0015384635272843,-0.00188116236494614
0.17,1.04,1.00119868371361,0.00294033710046507,-0.00413673576452837
0.17,1.05,1.01092858781497,-0.010629888580053,-0.000296454722360878
0.17,1.06,1.01743934492682,-0.0193212378683397,0.00188409493423498
0.17,1.07,1.02024190509887,-0.0224905622620236,0.00225081823053395
0.17,1.08,1.0194191500512,-0.0202075961734856,0.000790565698479438
0.18,0.92,0.974040085281441,0.0276366701830462,-0.00167383581879753
0.18,0.94,0.979050622686329,0.023238359235695,-0.00228618560338812
0.18,0.95,0.977891973036794,0.026413631149881,-0.00430286472475672
0.18,0.96,0.986770535790007,0.0144935527448118,-0.00126140437035016
0.18,0.97,0.980993723700817,0.0246318043324712,-0.00562290213803918
0.18,0.98,0.996163863478089,0.00320716345790715,0.000631546318534525
0.18,0.99,0.991171913229869,0.0120147813900342,-0.00318417356987337
0.18,1,1.01362254937525,-0.0203746684361068,0.00675458920949534
0.18,1.01,1.01488359312848,-0.0211121831433542,0.00623101451011626
0.18,1.02,0.992217227645346,0.0140945387130527,-0.00630938960866659
0.18,1.03,0.998013880238187,0.00659612061600824,-0.00460767144127526
